Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,3616.0,3755.0,3686.0,3722.0,3722.0,33326354
2020-02-02,3680.0,3691.0,3581.0,3616.0,3616.0,65283944
2020-02-01,3842.0,3790.0,3650.0,3680.0,3680.0,65938438
2020-01-28,3765.0,3926.0,3720.0,3842.0,3842.0,49052601
2020-01-27,3631.0,3812.0,3558.0,3765.0,3765.0,64936639
2020-01-26,3473.0,3646.0,3473.0,3631.0,3631.0,110141555
2020-01-25,3395.0,3549.0,3380.0,3473.0,3473.0,67093694
2020-01-22,3429.0,3480.0,3300.0,3395.0,3395.0,60298482
2020-01-21,3343.0,3529.0,3353.0,3429.0,3429.0,78310332
2020-01-18,3194.0,3353.0,3232.0,3343.0,3343.0,71677287
2020-01-15,3137.0,3233.0,3091.0,3194.0,3194.0,59614192
2020-01-14,3018.0,3168.0,3020.0,3137.0,3137.0,118242306
2020-01-13,2875.0,3018.0,3018.0,3018.0,3018.0,49823157
2020-01-12,2739.0,2875.0,2875.0,2875.0,2875.0,4291353
2020-01-11,2686.0,2739.0,2739.0,2739.0,2739.0,3728553
2020-01-08,2740.0,2686.0,2686.0,2686.0,2686.0,9903819
2020-01-07,2841.0,2887.0,2699.0,2740.0,2740.0,40272598
2020-01-05,2972.0,2937.0,2824.0,2841.0,2841.0,142053931
2020-01-04,3128.0,2972.0,2972.0,2972.0,2972.0,9388159
2020-01-01,3058.0,3169.0,3052.0,3128.0,3128.0,52303948
2019-12-31,3098.0,3180.0,2995.0,3058.0,3058.0,53508278
2019-12-30,3085.0,3188.0,3023.0,3098.0,3098.0,57061128
2019-12-29,3065.0,3149.0,3000.0,3085.0,3085.0,60880531
2019-12-28,2924.0,3070.0,2990.0,3065.0,3065.0,136119450
2019-12-25,2920.0,2970.0,2861.0,2924.0,2924.0,46838292
2019-12-24,2828.0,2960.0,2790.0,2920.0,2920.0,93742344
2019-12-23,2775.0,2888.0,2720.0,2828.0,2828.0,106093389
2019-12-22,2654.0,2786.0,2720.0,2775.0,2775.0,145207655
2019-12-21,2598.0,2680.0,2620.0,2654.0,2654.0,41406237
2019-12-16,2604.0,2640.0,2570.0,2598.0,2598.0,29019011
2019-12-15,2602.0,2663.0,2551.0,2604.0,2604.0,27011728
2019-12-14,2620.0,2619.0,2583.0,2602.0,2602.0,36899740
2019-12-11,2630.0,2700.0,2570.0,2620.0,2620.0,24327172
2019-12-10,2638.0,2660.0,2590.0,2630.0,2630.0,37434734
2019-12-09,2573.0,2673.0,2582.0,2638.0,2638.0,34017782
2019-12-08,2411.0,2650.0,2530.0,2573.0,2573.0,85111307
2019-12-03,2415.0,2440.0,2392.0,2411.0,2411.0,23895677
2019-12-02,2402.0,2449.0,2360.0,2415.0,2415.0,35989085
2019-12-01,2323.0,2439.0,2331.0,2402.0,2402.0,52419281
2019-11-30,2312.0,2360.0,2302.0,2323.0,2323.0,22241232
2019-11-27,2323.0,2349.0,2300.0,2312.0,2312.0,15919861
2019-11-26,2351.0,2378.0,2307.0,2323.0,2323.0,15452986
2019-11-25,2356.0,2389.0,2303.0,2351.0,2351.0,16459712
2019-11-24,2351.0,2399.0,2325.0,2356.0,2356.0,21004802
2019-11-23,2254.0,2366.0,2293.0,2351.0,2351.0,53335808
2019-11-20,2232.0,2318.0,2151.0,2254.0,2254.0,13939625
2019-11-19,2223.0,2255.0,2217.0,2232.0,2232.0,17041077
2019-11-18,2204.0,2268.0,2150.0,2223.0,2223.0,6934684
2019-11-17,2309.0,2270.0,2194.0,2204.0,2204.0,27322143
2019-11-16,2294.0,2367.0,2263.0,2309.0,2309.0,10724962
2019-11-13,2305.0,2305.0,2284.0,2294.0,2294.0,16931580
2019-11-12,2288.0,2355.0,2281.0,2305.0,2305.0,15195538
2019-11-11,2289.0,2307.0,2272.0,2288.0,2288.0,11122615
2019-11-10,2304.0,2320.0,2272.0,2289.0,2289.0,8087259
2019-11-09,2303.0,2373.0,2285.0,2304.0,2304.0,11786253
2019-11-05,2299.0,2340.0,2270.0,2303.0,2303.0,11137106
2019-11-04,2349.0,2379.0,2271.0,2299.0,2299.0,11435286
2019-11-03,2383.0,2410.0,2300.0,2349.0,2349.0,12589082
2019-11-02,2414.0,2455.0,2330.0,2383.0,2383.0,12359454
2019-10-30,2348.0,2430.0,2381.0,2414.0,2414.0,9738683
2019-10-28,2295.0,2390.0,2288.0,2348.0,2348.0,10676243
2019-10-26,2294.0,2357.0,2261.0,2295.0,2295.0,7601820
2019-10-23,2339.0,2370.0,2250.0,2294.0,2294.0,13409524
2019-10-22,2256.0,2368.0,2270.0,2339.0,2339.0,23725595
2019-10-21,2256.0,2340.0,2179.0,2256.0,2256.0,28226875
2019-10-20,2363.0,2400.0,2245.0,2256.0,2256.0,55072511
2019-10-16,2442.0,2469.0,2320.0,2363.0,2363.0,35177133
